,author,title,summary
0,Minghao Fu; Ke Zhu; Jianxin Wu,DTL: Disentangled Transfer Learning for Visual Recognition,"When pre-trained models become rapidly larger, the cost of fine-tuning on
downstream tasks steadily increases, too. To economically fine-tune these
models, parameter-efficient transfer learning (PETL) is proposed, which only
tunes a tiny subset of trainable parameters to efficiently learn quality
representations. However, current PETL methods are facing the dilemma that
during training the GPU memory footprint is not effectively reduced as
trainable parameters. PETL will likely fail, too, if the full fine-tuning
encounters the out-of-GPU-memory issue. This phenomenon happens because
trainable parameters from these methods are generally entangled with the
backbone, such that a lot of intermediate states have to be stored in GPU
memory for gradient propagation. To alleviate this problem, we introduce
Disentangled Transfer Learning (DTL), which disentangles the trainable
parameters from the backbone using a lightweight Compact Side Network (CSN). By
progressively extracting task-specific information with a few low-rank linear
mappings and appropriately adding the information back to the backbone, CSN
effectively realizes knowledge transfer in various downstream tasks. We
conducted extensive experiments to validate the effectiveness of our method.
The proposed method not only reduces a large amount of GPU memory usage and
trainable parameters, but also outperforms existing PETL methods by a
significant margin in accuracy, achieving new state-of-the-art on several
standard benchmarks. The code is available at https://github.com/heekhero/DTL."
1,Guiqin Wang; Peng Zhao; Yanjiang Shi; Cong Zhao; Shusen Yang,Generative Model-Based Feature Knowledge Distillation for Action Recognition,"Knowledge distillation (KD), a technique widely employed in computer vision,
has emerged as a de facto standard for improving the performance of small
neural networks. However, prevailing KD-based approaches in video tasks
primarily focus on designing loss functions and fusing cross-modal information.
This overlooks the spatial-temporal feature semantics, resulting in limited
advancements in model compression. Addressing this gap, our paper introduces an
innovative knowledge distillation framework, with the generative model for
training a lightweight student model. In particular, the framework is organized
into two steps: the initial phase is Feature Representation, wherein a
generative model-based attention module is trained to represent feature
semantics; Subsequently, the Generative-based Feature Distillation phase
encompasses both Generative Distillation and Attention Distillation, with the
objective of transferring attention-based feature semantics with the generative
model. The efficacy of our approach is demonstrated through comprehensive
experiments on diverse popular datasets, proving considerable enhancements in
video action recognition task. Moreover, the effectiveness of our proposed
framework is validated in the context of more intricate video action detection
task. Our code is available at https://github.com/aaai-24/Generative-based-KD."
2,Xiang Li; Junbo Yin; Wei Li; Chengzhong Xu; Ruigang Yang; Jianbing Shen,"DI-V2X: Learning Domain-Invariant Representation for Vehicle-Infrastructure
Collaborative 3D Object Detection","Vehicle-to-Everything (V2X) collaborative perception has recently gained
significant attention due to its capability to enhance scene understanding by
integrating information from various agents, e.g., vehicles, and
infrastructure. However, current works often treat the information from each
agent equally, ignoring the inherent domain gap caused by the utilization of
different LiDAR sensors of each agent, thus leading to suboptimal performance.
In this paper, we propose DI-V2X, that aims to learn Domain-Invariant
representations through a new distillation framework to mitigate the domain
discrepancy in the context of V2X 3D object detection. DI-V2X comprises three
essential components: a domain-mixing instance augmentation (DMA) module, a
progressive domain-invariant distillation (PDD) module, and a domain-adaptive
fusion (DAF) module. Specifically, DMA builds a domain-mixing 3D instance bank
for the teacher and student models during training, resulting in aligned data
representation. Next, PDD encourages the student models from different domains
to gradually learn a domain-invariant feature representation towards the
teacher, where the overlapping regions between agents are employed as guidance
to facilitate the distillation process. Furthermore, DAF closes the domain gap
between the students by incorporating calibration-aware domain-adaptive
attention. Extensive experiments on the challenging DAIR-V2X and V2XSet
benchmark datasets demonstrate DI-V2X achieves remarkable performance,
outperforming all the previous V2X models. Code is available at
https://github.com/Serenos/DI-V2X"
3,Haibo Jin; Haoxuan Che; Yi Lin; Hao Chen,PromptMRG: Diagnosis-Driven Prompts for Medical Report Generation,"Automatic medical report generation (MRG) is of great research value as it
has the potential to relieve radiologists from the heavy burden of report
writing. Despite recent advancements, accurate MRG remains challenging due to
the need for precise clinical understanding and disease identification.
Moreover, the imbalanced distribution of diseases makes the challenge even more
pronounced, as rare diseases are underrepresented in training data, making
their diagnostic performance unreliable. To address these challenges, we
propose diagnosis-driven prompts for medical report generation (PromptMRG), a
novel framework that aims to improve the diagnostic accuracy of MRG with the
guidance of diagnosis-aware prompts. Specifically, PromptMRG is based on
encoder-decoder architecture with an extra disease classification branch. When
generating reports, the diagnostic results from the classification branch are
converted into token prompts to explicitly guide the generation process. To
further improve the diagnostic accuracy, we design cross-modal feature
enhancement, which retrieves similar reports from the database to assist the
diagnosis of a query image by leveraging the knowledge from a pre-trained CLIP.
Moreover, the disease imbalanced issue is addressed by applying an adaptive
logit-adjusted loss to the classification branch based on the individual
learning status of each disease, which overcomes the barrier of text decoder's
inability to manipulate disease distributions. Experiments on two MRG
benchmarks show the effectiveness of the proposed method, where it obtains
state-of-the-art clinical efficacy performance on both datasets. The code is
available at https://github.com/jhb86253817/PromptMRG."
4,Louis Mahon; Thomas Lukasiewicz,"Hard Regularization to Prevent Deep Online Clustering Collapse without Data
Augmentation","Online deep clustering refers to the joint use of a feature extraction
network and a clustering model to assign cluster labels to each new data point
or batch as it is processed. While faster and more versatile than offline
methods, online clustering can easily reach the collapsed solution where the
encoder maps all inputs to the same point and all are put into a single
cluster. Successful existing models have employed various techniques to avoid
this problem, most of which require data augmentation or which aim to make the
average soft assignment across the dataset the same for each cluster. We
propose a method that does not require data augmentation, and that, differently
from existing methods, regularizes the hard assignments. Using a Bayesian
framework, we derive an intuitive optimization objective that can be
straightforwardly included in the training of the encoder network. Tested on
four image datasets and one human-activity recognition dataset, it consistently
avoids collapse more robustly than other methods and leads to more accurate
clustering. We also conduct further experiments and analyses justifying our
choice to regularize the hard cluster assignments. Code is available at
https://github.com/Lou1sM/online_hard_clustering."
5,Xi Ye; Guillaume-Alexandre Bilodeau,STDiff: Spatio-Temporal Diffusion for Continuous Stochastic Video Prediction,"Predicting future frames of a video is challenging because it is difficult to
learn the uncertainty of the underlying factors influencing their contents. In
this paper, we propose a novel video prediction model, which has
infinite-dimensional latent variables over the spatio-temporal domain.
Specifically, we first decompose the video motion and content information, then
take a neural stochastic differential equation to predict the temporal motion
information, and finally, an image diffusion model autoregressively generates
the video frame by conditioning on the predicted motion feature and the
previous frame. The better expressiveness and stronger stochasticity learning
capability of our model lead to state-of-the-art video prediction performances.
As well, our model is able to achieve temporal continuous prediction, i.e.,
predicting in an unsupervised way the future video frames with an arbitrarily
high frame rate. Our code is available at
\url{https://github.com/XiYe20/STDiffProject}."
6,Qingwen Bu; Sungrae Park; Minsoo Khang; Yichuan Cheng,"SRFormer: Text Detection Transformer with Incorporated Segmentation and
Regression","Existing techniques for text detection can be broadly classified into two
primary groups: segmentation-based and regression-based methods. Segmentation
models offer enhanced robustness to font variations but require intricate
post-processing, leading to high computational overhead. Regression-based
methods undertake instance-aware prediction but face limitations in robustness
and data efficiency due to their reliance on high-level representations. In our
academic pursuit, we propose SRFormer, a unified DETR-based model with
amalgamated Segmentation and Regression, aiming at the synergistic harnessing
of the inherent robustness in segmentation representations, along with the
straightforward post-processing of instance-level regression. Our empirical
analysis indicates that favorable segmentation predictions can be obtained at
the initial decoder layers. In light of this, we constrain the incorporation of
segmentation branches to the first few decoder layers and employ progressive
regression refinement in subsequent layers, achieving performance gains while
minimizing computational load from the mask.Furthermore, we propose a
Mask-informed Query Enhancement module. We take the segmentation result as a
natural soft-ROI to pool and extract robust pixel representations, which are
then employed to enhance and diversify instance queries. Extensive
experimentation across multiple benchmarks has yielded compelling findings,
highlighting our method's exceptional robustness, superior training and data
efficiency, as well as its state-of-the-art performance. Our code is available
at https://github.com/retsuh-bqw/SRFormer-Text-Det."
7,Fuxiang Huang; Lei Zhang; Xiaowei Fu; Suqi Song,Dynamic Weighted Combiner for Mixed-Modal Image Retrieval,"Mixed-Modal Image Retrieval (MMIR) as a flexible search paradigm has
attracted wide attention. However, previous approaches always achieve limited
performance, due to two critical factors are seriously overlooked. 1) The
contribution of image and text modalities is different, but incorrectly treated
equally. 2) There exist inherent labeling noises in describing users'
intentions with text in web datasets from diverse real-world scenarios, giving
rise to overfitting. We propose a Dynamic Weighted Combiner (DWC) to tackle the
above challenges, which includes three merits. First, we propose an Editable
Modality De-equalizer (EMD) by taking into account the contribution disparity
between modalities, containing two modality feature editors and an adaptive
weighted combiner. Second, to alleviate labeling noises and data bias, we
propose a dynamic soft-similarity label generator (SSG) to implicitly improve
noisy supervision. Finally, to bridge modality gaps and facilitate similarity
learning, we propose a CLIP-based mutual enhancement module alternately trained
by a mixed-modality contrastive loss. Extensive experiments verify that our
proposed model significantly outperforms state-of-the-art methods on real-world
datasets. The source code is available at
\url{https://github.com/fuxianghuang1/DWC}."
8,Jichang Li; Guanbin Li; Hui Cheng; Zicheng Liao; Yizhou Yu,FedDiv: Collaborative Noise Filtering for Federated Learning with Noisy Labels,"Federated learning with noisy labels (F-LNL) aims at seeking an optimal
server model via collaborative distributed learning by aggregating multiple
client models trained with local noisy or clean samples. On the basis of a
federated learning framework, recent advances primarily adopt label noise
filtering to separate clean samples from noisy ones on each client, thereby
mitigating the negative impact of label noise. However, these prior methods do
not learn noise filters by exploiting knowledge across all clients, leading to
sub-optimal and inferior noise filtering performance and thus damaging training
stability. In this paper, we present FedDiv to tackle the challenges of F-LNL.
Specifically, we propose a global noise filter called Federated Noise Filter
for effectively identifying samples with noisy labels on every client, thereby
raising stability during local training sessions. Without sacrificing data
privacy, this is achieved by modeling the global distribution of label noise
across all clients. Then, in an effort to make the global model achieve higher
performance, we introduce a Predictive Consistency based Sampler to identify
more credible local data for local model training, thus preventing noise
memorization and further boosting the training stability. Extensive experiments
on CIFAR-10, CIFAR-100, and Clothing1M demonstrate that \texttt{FedDiv}
achieves superior performance over state-of-the-art F-LNL methods under
different label noise settings for both IID and non-IID data partitions. Source
code is publicly available at https://github.com/lijichang/FLNL-FedDiv."
9,Fengpeng Li; Kemou Li; Jinyu Tian; Jiantao Zhou,Regroup Median Loss for Combating Label Noise,"The deep model training procedure requires large-scale datasets of annotated
data. Due to the difficulty of annotating a large number of samples, label
noise caused by incorrect annotations is inevitable, resulting in low model
performance and poor model generalization. To combat label noise, current
methods usually select clean samples based on the small-loss criterion and use
these samples for training. Due to some noisy samples similar to clean ones,
these small-loss criterion-based methods are still affected by label noise. To
address this issue, in this work, we propose Regroup Median Loss (RML) to
reduce the probability of selecting noisy samples and correct losses of noisy
samples. RML randomly selects samples with the same label as the training
samples based on a new loss processing method. Then, we combine the stable mean
loss and the robust median loss through a proposed regrouping strategy to
obtain robust loss estimation for noisy samples. To further improve the model
performance against label noise, we propose a new sample selection strategy and
build a semi-supervised method based on RML. Compared to state-of-the-art
methods, for both the traditionally trained and semi-supervised models, RML
achieves a significant improvement on synthetic and complex real-world
datasets. The source code of the paper has been released."
