,author,title,summary
0,"[('Hanlei Zhang'), ('Hua Xu'), ('Fei Long'), ('Xin Wang'), ('Kai Gao')]",Unsupervised Multimodal Clustering for Semantics Discovery in Multimodal Utterances,"Discovering the semantics of multimodal utterances is essential for
understanding human language and enhancing human-machine interactions. Existing
methods manifest limitations in leveraging nonverbal information for discerning
complex semantics in unsupervised scenarios. This paper introduces a novel
unsupervised multimodal clustering method (UMC), making a pioneering
contribution to this field. UMC introduces a unique approach to constructing
augmentation views for multimodal data, which are then used to perform
pre-training to establish well-initialized representations for subsequent
clustering. An innovative strategy is proposed to dynamically select
high-quality samples as guidance for representation learning, gauged by the
density of each sample's nearest neighbors. Besides, it is equipped to
automatically determine the optimal value for the top-$K$ parameter in each
cluster to refine sample selection. Finally, both high- and low-quality samples
are used to learn representations conducive to effective clustering. We build
baselines on benchmark multimodal intent and dialogue act datasets. UMC shows
remarkable improvements of 2-6\% scores in clustering metrics over
state-of-the-art methods, marking the first successful endeavor in this domain.
The complete code and data are available at https://github.com/thuiar/UMC."
1,"[('Dayou Du'), ('Yijia Zhang'), ('Shijie Cao'), ('Jiaqi Guo'), ('Ting Cao'), ('Xiaowen Chu'), ('Ningyi Xu')]",BitDistiller: Unleashing the Potential of Sub-4-Bit LLMs via Self-Distillation,"The upscaling of Large Language Models (LLMs) has yielded impressive advances
in natural language processing, yet it also poses significant deployment
challenges. Weight quantization has emerged as a widely embraced solution to
reduce memory and computational demands. This paper introduces BitDistiller, a
framework that synergizes Quantization-Aware Training (QAT) with Knowledge
Distillation (KD) to boost the performance of LLMs at ultra-low precisions
(sub-4-bit). Specifically, BitDistiller first incorporates a tailored
asymmetric quantization and clipping technique to maximally preserve the
fidelity of quantized weights, and then proposes a novel Confidence-Aware
Kullback-Leibler Divergence (CAKLD) objective, which is employed in a
self-distillation manner to enable faster convergence and superior model
performance. Empirical evaluations demonstrate that BitDistiller significantly
surpasses existing methods in both 3-bit and 2-bit configurations on general
language understanding and complex reasoning benchmarks. Notably, BitDistiller
is shown to be more cost-effective, demanding fewer data and training
resources. The code is available at https://github.com/DD-DuDa/BitDistiller."
2,"[('Shicheng Xu'), ('Liang Pang'), ('Mo Yu'), ('Fandong Meng'), ('Huawei Shen'), ('Xueqi Cheng'), ('Jie Zhou')]",Unsupervised Information Refinement Training of Large Language Models for Retrieval-Augmented Generation,"Retrieval-augmented generation (RAG) enhances large language models (LLMs) by
incorporating additional information from retrieval. However, studies have
shown that LLMs still face challenges in effectively using the retrieved
information, even ignoring it or being misled by it. The key reason is that the
training of LLMs does not clearly make LLMs learn how to utilize input
retrieved texts with varied quality. In this paper, we propose a novel
perspective that considers the role of LLMs in RAG as ``Information Refiner'',
which means that regardless of correctness, completeness, or usefulness of
retrieved texts, LLMs can consistently integrate knowledge within the retrieved
texts and model parameters to generate the texts that are more concise,
accurate, and complete than the retrieved texts. To this end, we propose an
information refinement training method named InFO-RAG that optimizes LLMs for
RAG in an unsupervised manner. InFO-RAG is low-cost and general across various
tasks. Extensive experiments on zero-shot prediction of 11 datasets in diverse
tasks including Question Answering, Slot-Filling, Language Modeling, Dialogue,
and Code Generation show that InFO-RAG improves the performance of LLaMA2 by an
average of 9.39\% relative points. InFO-RAG also shows advantages in in-context
learning and robustness of RAG."
3,"[('Guanting Dong'), ('Hongyi Yuan'), ('Keming Lu'), ('Chengpeng Li'), ('Mingfeng Xue'), ('Dayiheng Liu'), ('Wei Wang'), ('Zheng Yuan'), ('Chang Zhou'), ('Jingren Zhou')]",How Abilities in Large Language Models are Affected by Supervised Fine-tuning Data Composition,"Large language models (LLMs) with enormous pre-training tokens and parameters
emerge diverse abilities, including math reasoning, code generation, and
instruction following. These abilities are further enhanced by supervised
fine-tuning (SFT). While the open-source community has explored ad-hoc SFT for
enhancing individual capabilities, proprietary LLMs exhibit versatility across
various skills. Therefore, understanding the facilitation of multiple abilities
via SFT is paramount. In this study, we specifically focuses on the interplay
of data composition between mathematical reasoning, code generation, and
general human-aligning abilities during SFT. We propose four intriguing
research questions to explore the association between model performance and
various factors including data amount, composition ratio, model size and SFT
strategies. Our experiments reveal that distinct capabilities scale differently
and larger models generally show superior performance with same amount of data.
Mathematical reasoning and code generation consistently improve with increasing
data amount, whereas general abilities plateau after roughly a thousand
samples. Moreover, we observe data composition appears to enhance various
abilities under limited data conditions, yet can lead to performance conflicts
when data is plentiful. Our findings also suggest the amount of composition
data influences performance more than the composition ratio. In analysis of SFT
strategies, we find that sequentially learning multiple skills risks
catastrophic forgetting. Our proposed Dual-stage Mixed Fine-tuning (DMT)
strategy offers a promising solution to learn multiple abilities with different
scaling patterns."
4,"[('Eduard Poesina'), ('Cornelia Caragea'), ('Radu Tudor Ionescu')]",A Novel Cartography-Based Curriculum Learning Method Applied on RoNLI: The First Romanian Natural Language Inference Corpus,"Natural language inference (NLI), the task of recognizing the entailment
relationship in sentence pairs, is an actively studied topic serving as a proxy
for natural language understanding. Despite the relevance of the task in
building conversational agents and improving text classification, machine
translation and other NLP tasks, to the best of our knowledge, there is no
publicly available NLI corpus for the Romanian language. To this end, we
introduce the first Romanian NLI corpus (RoNLI) comprising 58K training
sentence pairs, which are obtained via distant supervision, and 6K validation
and test sentence pairs, which are manually annotated with the correct labels.
We conduct experiments with multiple machine learning methods based on distant
learning, ranging from shallow models based on word embeddings to
transformer-based neural networks, to establish a set of competitive baselines.
Furthermore, we improve on the best model by employing a new curriculum
learning strategy based on data cartography. Our dataset and code to reproduce
the baselines are available at https://github.com/Eduard6421/RONLI."
5,"[('Yiren Jian'), ('Tingkai Liu'), ('Yunzhe Tao'), ('Chunhui Zhang'), ('Soroush Vosoughi'), ('Hongxia Yang')]",Expedited Training of Visual Conditioned Language Generation via Redundancy Reduction,"In this paper, we introduce $\text{EVL}_{\text{Gen}}$, a streamlined
framework designed for the pre-training of visually conditioned language
generation models with high computational demands, utilizing frozen pre-trained
large language models (LLMs). The conventional approach in vision-language
pre-training (VLP) typically involves a two-stage optimization process: an
initial resource-intensive phase dedicated to general-purpose vision-language
representation learning, focused on extracting and consolidating relevant
visual features. This is followed by a subsequent phase that emphasizes
end-to-end alignment between visual and linguistic modalities. Our novel
one-stage, single-loss framework bypasses the computationally demanding first
training stage by gradually merging similar visual tokens during training,
while avoiding model collapse caused by single-stage training of BLIP-2 type
models. The gradual merging process effectively condenses visual information
while preserving semantic richness, resulting in rapid convergence without
compromising performance. Our experimental findings demonstrate that our
approach accelerates the training of vision-language models by a factor of 5
without a noticeable impact on overall performance. Furthermore, we illustrate
that our models significantly narrow the performance gap to current
vision-language models using only 1/10 of the data. Finally, we showcase how
our image-text models can seamlessly adapt to video-conditioned language
generation tasks through novel soft attentive temporal token contextualizing
modules. Code is available at \url{https://github.com/yiren-jian/EVLGen}."
6,"[('Yueqi Xie'), ('Minghong Fang'), ('Renjie Pi'), ('Neil Gong')]",GradSafe: Detecting Jailbreak Prompts for LLMs via Safety-Critical Gradient Analysis,"Large Language Models (LLMs) face threats from jailbreak prompts. Existing
methods for detecting jailbreak prompts are primarily online moderation APIs or
finetuned LLMs. These strategies, however, often require extensive and
resource-intensive data collection and training processes. In this study, we
propose GradSafe, which effectively detects jailbreak prompts by scrutinizing
the gradients of safety-critical parameters in LLMs. Our method is grounded in
a pivotal observation: the gradients of an LLM's loss for jailbreak prompts
paired with compliance response exhibit similar patterns on certain
safety-critical parameters. In contrast, safe prompts lead to different
gradient patterns. Building on this observation, GradSafe analyzes the
gradients from prompts (paired with compliance responses) to accurately detect
jailbreak prompts. We show that GradSafe, applied to Llama-2 without further
training, outperforms Llama Guard, despite its extensive finetuning with a
large dataset, in detecting jailbreak prompts. This superior performance is
consistent across both zero-shot and adaptation scenarios, as evidenced by our
evaluations on ToxicChat and XSTest. The source code is available at
https://github.com/xyq7/GradSafe."
7,"[('Runlong Zhou'), ('Simon S. Du'), ('Beibin Li')]",Reflect-RL: Two-Player Online RL Fine-Tuning for LMs,"As language models (LMs) demonstrate their capabilities in various fields,
their application to tasks requiring multi-round interactions has become
increasingly popular. These tasks usually have complex dynamics, so supervised
fine-tuning (SFT) on a limited offline dataset does not yield good performance.
However, only a few works attempted to directly train the LMs within
interactive decision-making environments. We aim to create an effective
approach to fine-tune LMs with online reinforcement learning (RL) in these
environments. We propose Reflect-RL, a two-player system to fine-tune an LM
using SFT and online RL, where a frozen reflection model (player) assists the
policy model (player). To generate data for the warm-up SFT stage, we use
negative example generation to enhance the error-correction ability of the
reflection model. Furthermore, we designed single-prompt action enumeration and
applied curriculum learning to allow the policy model to learn more
efficiently. Empirically, we verify that Reflect-RL outperforms SFT and online
RL without reflection. Testing results indicate GPT-2 XL 1.56B fine-tuned with
Reflect-RL outperforms larger open-source LMs, such as Mistral 7B. The
benchmarks, dataset, and code involved in this work are publicly available:
https://github.com/zhourunlong/Reflect-RL."
8,"[('Sitao Cheng'), ('Ziyuan Zhuang'), ('Yong Xu'), ('Fangkai Yang'), ('Chaoyun Zhang'), ('Xiaoting Qin'), ('Xiang Huang'), ('Ling Chen'), ('Qingwei Lin'), ('Dongmei Zhang'), ('Saravan Rajmohan'), ('Qi Zhang')]",Can ChatGPT’s Performance be Improved on Verb Metaphor Detection Tasks? Bootstrapping and Combining Tacit Knowledge,"Large Language Models (LLMs) have shown potential in reasoning over
structured environments, e.g., knowledge graph and table. Such tasks typically
require multi-hop reasoning, i.e., match natural language utterance with
instances in the environment. Previous methods leverage LLMs to incrementally
build a reasoning path, where the LLMs either invoke tools or pick up schemas
by step-by-step interacting with the environment. We propose
Reasoning-Path-Editing (Readi), a novel framework where LLMs can efficiently
and faithfully reason over structured environments. In Readi, LLMs initially
generate a reasoning path given a query, and edit the path only when necessary.
We instantiate the path on structured environments and provide feedback to edit
the path if anything goes wrong. Experimental results on three KGQA and two
TableQA datasets show the effectiveness of Readi, significantly surpassing
previous LLM-based methods (by 9.1% Hit@1 on WebQSP, 12.4% on MQA-3H and 9.5%
on WTQ), comparable with state-of-the-art fine-tuned methods (67% on CWQ and
74.7% on WebQSP) and substantially boosting the vanilla LLMs (by 14.9% on CWQ).
Our code will be available on https://aka.ms/readi."
9,"[('Shizhe Diao'), ('Pengcheng Wang'), ('Yong Lin'), ('Tong Zhang')]",Active Prompting with Chain-of-Thought for Large Language Models,"The increasing scale of large language models (LLMs) brings emergent
abilities to various complex tasks requiring reasoning, such as arithmetic and
commonsense reasoning. It is known that the effective design of task-specific
prompts is critical for LLMs' ability to produce high-quality answers. In
particular, an effective approach for complex question-and-answer tasks is
example-based prompting with chain-of-thought (CoT) reasoning, which
significantly improves the performance of LLMs. However, current CoT methods
rely on a fixed set of human-annotated exemplars, which are not necessarily the
most effective examples for different tasks. This paper proposes a new method,
Active-Prompt, to adapt LLMs to different tasks with task-specific example
prompts (annotated with human-designed CoT reasoning). For this purpose, we
propose a solution to the key problem of determining which questions are the
most important and helpful ones to annotate from a pool of task-specific
queries. By borrowing ideas from the related problem of uncertainty-based
active learning, we introduce several metrics to characterize the uncertainty
so as to select the most uncertain questions for annotation. Experimental
results demonstrate the superiority of our proposed method, achieving
state-of-the-art on eight complex reasoning tasks. Further analyses of
different uncertainty metrics, pool sizes, zero-shot learning, and
accuracy-uncertainty relationship demonstrate the effectiveness of our method.
Our code will be available at https://github.com/shizhediao/active-prompt."
